initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,2500000,2500000,892,20,327.908,45.3683,296.607,70.485,
40000000,2500000,2500000,896,20,325.445,45.0468,353.111,70.0812,
40000000,2500000,2500000,900,20,327.12,44.9352,352.55,69.809,
40000000,2500000,2500000,904,20,326.6,45.1668,350.772,69.2745,
40000000,2500000,2500000,908,20,322.355,44.6434,354.681,69.0855,
40000000,2500000,2500000,912,20,325.949,44.3698,352.504,68.9636,
40000000,2500000,2500000,916,20,322.473,44.4067,357.209,68.6784,
40000000,2500000,2500000,920,20,329.325,44.2371,283.106,68.4998,
40000000,2500000,2500000,924,20,325.681,44.2822,358.823,68.3186,
40000000,2500000,2500000,928,20,321.149,43.9118,355.684,67.9978,
40000000,2500000,2500000,932,20,324.755,43.946,352.261,67.6764,
40000000,2500000,2500000,936,20,329.643,43.5027,359.296,67.6625,
40000000,2500000,2500000,940,20,322.729,43.2675,355.915,67.3158,
40000000,2500000,2500000,944,20,322.327,43.4738,358.059,66.9329,
40000000,2500000,2500000,948,20,331.219,42.9185,353.115,66.6597,
40000000,2500000,2500000,952,20,333.963,42.6986,358.71,66.46,
40000000,2500000,2500000,956,20,325.731,42.9894,359.654,66.3176,
40000000,2500000,2500000,960,20,323.827,42.8079,353.672,65.9441,
40000000,2500000,2500000,964,20,319.771,42.6882,289.768,65.6619,
40000000,2500000,2500000,968,20,330.485,42.4686,355.447,65.5188,
40000000,2500000,2500000,972,20,332.124,42.3671,359.705,65.3246,
40000000,2500000,2500000,976,20,322.267,41.753,350.551,64.6644,
40000000,2500000,2500000,980,20,327.773,42.0323,356.226,64.6306,
40000000,2500000,2500000,984,20,332.383,41.7821,354.104,64.5994,
40000000,2500000,2500000,988,20,293.095,41.3134,353.871,64.2198,
40000000,2500000,2500000,992,20,326.14,41.5937,358.367,64.0044,
40000000,2500000,2500000,996,20,329.491,41.4487,350.965,63.7331,
40000000,2500000,2500000,1000,20,327.493,41.324,353.781,63.5284,
40000000,2500000,2500000,1004,20,329.238,41.0235,354.23,63.4707,
40000000,2500000,2500000,1008,20,320.605,41.0368,356.955,63.1416,
40000000,2500000,2500000,1012,20,326.329,40.4705,359.145,63.0425,
40000000,2500000,2500000,1016,20,329.728,40.3033,351.346,62.796,
40000000,2500000,2500000,1020,20,302.359,40.589,365.013,62.5866,
40000000,2500000,2500000,1024,20,328.443,40.435,354.53,62.3934,
